artist,album,track,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,msPlayed
Olly James,Meant To Be,Meant To Be,spotify:track:2MwWgsJTQOFZqY12zctYKc,0.645,0.941,8,-4.287,0,0.0466,0.00273,0.784,0.0792,0.275,150.012,146810,741163
Hello Ga-Young,솜과 사탕,솜과 사탕,spotify:track:4BfUs8tiQStCdTxeNzkf7s,0.744,0.823,0,-4.635,1,0.0294,0.328,0,0.221,0.807,118.981,214805,6496848
Clairo,Flaming Hot Cheetos,Flaming Hot Cheetos,spotify:track:1F6IbA7di42uPc3cff8PXV,0.817,0.551,7,-9.33,0,0.133,0.865,0.000151,0.101,0.142,109.966,123884,361753
george,look at me,look at me,spotify:track:06ZjtFrSVuESKVe9bnZrNp,0.508,0.552,6,-6.939,1,0.0302,0.658,4.58E-05,0.0979,0.15,66.05,251371,296879
Bazzi,Soul Searching,I.F.L.Y.,spotify:track:4a6q8CR2hzLk2plDkSxkfD,0.812,0.519,2,-4.823,1,0.0385,0.379,0,0.13,0.554,104.954,165714,394238
Chawoo,HONEY,HONEY (Feat. Crucial Star),spotify:track:2Lt1ZRU6nFY88vw24GdYLy,0.759,0.495,5,-4.878,1,0.0356,0.519,0,0.0491,0.746,95.008,227507,1178260
Kid Cudi,Pursuit Of Happiness,Pursuit Of Happiness - Extended Steve Aoki Remix,spotify:track:5PX4uS1LqlWEPL69phPVQQ,0.722,0.687,0,-5.189,1,0.0556,0.00949,0.00413,0.0462,0.619,128.013,373627,7634003
Punch,Losing Sleep Over You,Losing Sleep Over You,spotify:track:1T9QufIPBQTW36Z1oNxrks,0.653,0.633,6,-4.994,0,0.0411,0.419,0,0.147,0.524,95.126,181267,2521808
Zion.T,"Pinocchio (Original Television Soundtrack), Pt. 6",Kiss Me,spotify:track:3EocPCqWc02mv9UF9iFneF,0.622,0.142,10,-11.987,1,0.0309,0.912,0,0.16,0.54,98.829,189229,234371
Rezz,Hypnocurrency,Hypnocurrency,spotify:track:3evAUkYDPeLX5kn0LbvGz4,0.528,0.732,2,-9.492,1,0.0504,0.0319,0.868,0.109,0.0324,199.978,292525,5974290
Ohdatsrida,Welcome to Rand Street,Gonna Love Me,spotify:track:1dSEwaZiCHF7jOO8nKxKYN,0.612,0.52,10,-10.534,0,0.349,0.376,2.18E-06,0.138,0.417,92.077,142315,4435020
KozyPop,Seoul Vibes Pt. 6,magazine,spotify:track:2P004R5bF7zemhudPy5sKY,0.752,0.663,1,-6.541,1,0.0449,0.159,0.000286,0.368,0.513,95.997,244701,138829
freestyle,Freestyle 3,Y (Please Tell Me Why),spotify:track:1nk9moKBnrWMsXoHxnaeJd,0.708,0.432,5,-7.113,0,0.0556,0.81,5.98E-05,0.154,0.628,79.986,280027,6008681
Chancellor,Walking In The Rain,Walking In The Rain,spotify:track:1lf2bl8eVxd6oDrTcpCbUs,0.641,0.535,11,-8.095,1,0.0534,0.437,1.69E-05,0.108,0.518,85.968,248907,1841374
GooNight,It's Alright 괜찮아,It's Alright 괜찮아 (feat. Jung Yu Jong),spotify:track:6LDdUX1rUgTJZgu3SN5Csj,0.611,0.497,3,-9.376,1,0.0634,0.179,1.46E-05,0.388,0.362,149.629,236533,784002
JJ Lin,她說,愛笑的眼睛,spotify:track:2SxXpn73WqM4zWhmWxeQ4s,0.648,0.423,1,-7.114,1,0.0312,0.759,0,0.103,0.397,132.633,251521,1073509
Hyomin,Make Up,Nice Body (feat. Locco),spotify:track:4JhtgykFbxH5v37hENn7mk,0.733,0.808,0,-3.342,1,0.0314,0.117,0,0.0413,0.863,98.023,208548,6780074
ACOURVE,Regret,Regret,spotify:track:2ZU1dN6bnfNhjqtiw9jQVV,0.578,0.394,10,-8.303,1,0.038,0.769,0,0.0977,0.61,81.716,207843,4549039
kobasolo,これくしょん2,BABY I LOVE U feat.竹内美宥,spotify:track:03VYHPFa7dQLLcYl6E7RpA,0.421,0.496,6,-6.744,1,0.0591,0.478,2.13E-05,0.114,0.288,185.413,309147,3864596
Mr. Thibs,Gold Tape,Fallen (Interlude),spotify:track:04uoXhigf47KbrcIhJdOZH,0.664,0.278,2,-14.801,0,0.136,0.268,0.0146,0.105,0.518,173.806,133192,6037
Vanilla Acoustic,Fit Me,Just thinking about you,spotify:track:13z0tjS1JNelA2fEdxRcET,0.498,0.653,5,-5.685,1,0.0623,0.75,0,0.23,0.598,179.912,217388,1617690
Sway Bleu,Why You,Why You,spotify:track:6KQ1kXpm6fNi5covVSMvz1,0.422,0.53,6,-10.989,0,0.123,0.528,0.00036,0.0899,0.209,93.35,150638,150638
Zeds Dead,Gassed Up,Gassed Up,spotify:track:6uwjDA0Qi6hk8C6lPJIMc9,0.643,0.985,4,-1.848,0,0.41,0.0152,0.000965,0.311,0.182,140.029,238286,1101041
Jay Chou,等你下課,等你下課,spotify:track:76WthWB0v0KXUHZoAclMVV,0.589,0.465,8,-8.416,1,0.0325,0.477,0,0.101,0.416,147.921,270000,1190078
Lykke Li,so sad so sexy,sex money feelings die,spotify:track:0g4fzRkbLeCDUCoe5iUOcf,0.789,0.534,8,-6.347,0,0.0709,0.323,3.42E-06,0.0645,0.631,134.055,139840,10255707
iwamizu,Alone,Rinki,spotify:track:4UTiiQu1gVGzVNYb92dytk,0.704,0.579,0,-7.336,0,0.0728,0.631,0.565,0.211,0.622,152.02,185262,1732257
任子墨,那一刻心動,那一刻心動,spotify:track:37SfCP2FHsom22BpPe2hiQ,0.749,0.374,6,-10.826,1,0.0468,0.715,5.75E-06,0.103,0.332,95.997,225922,1417364
xiv,Room For Two,Room For Two,spotify:track:77Q9doWepAc9rDYcX8gA4Q,0.773,0.681,7,-6.494,1,0.0603,0.359,0,0.151,0.611,118.556,182278,530439
MC MONG,20th Anniversary Edition ‘Dark Hole’,Sick enough to die (Feat. JAMIE),spotify:track:2aKeFpk9jaBdQeXuqqIZpm,0.621,0.87,6,-4.17,1,0.064,0.344,0,0.163,0.611,122.04,270907,20935108
JOYCE 就以斯,stay in 17,stay in 17,spotify:track:7xTJK8fcNF51xxPRgVlhBh,0.498,0.545,11,-6.284,1,0.162,0.753,0.00384,0.115,0.561,141.584,222148,273545
Ghaniyya ghazi,Your Imagination,Your Imagination,spotify:track:2z6YOVDEI7JDXHQP5QhGNA,0.639,0.502,4,-7.479,0,0.0755,0.415,0.000174,0.114,0.249,134.765,237594,6111867
Katy Perry,PRISM,Roar,spotify:track:6F5c58TMEs1byxUstkzVeM,0.554,0.772,7,-4.821,0,0.0418,0.00487,6.60E-06,0.354,0.455,179.984,223546,1007007
Kim Mi Jeong,2018.07,Good Morning (feat. D-Hack),spotify:track:3cbVV2c54L6MUj7JV5zolz,0.742,0.509,0,-8.743,1,0.132,0.513,1.64E-06,0.0781,0.822,172.045,166752,266700
TAEYONG,Hotel Del Luna OST Part.13,Love Deluna,spotify:track:1kqDfjZwReaIeiIU4BXFKy,0.478,0.763,4,-3.96,1,0.196,0.541,0,0.175,0.57,199.823,267742,0
Various Artists,불후의 명곡 - 대한민국 플래티넘 발라드,운명,spotify:track:5pYE8rHnC1ujo5FCMB34CF,0.449,0.67,4,-4.993,0,0.0434,0.156,0,0.265,0.297,207.794,255204,1605342
"So, I'm Jenn",We Are,We Are,spotify:track:5pGts0BjmZ5hxWhWY5uHED,0.513,0.228,3,-12.557,1,0.03,0.964,0.0235,0.107,0.396,147.991,206351,4570664
AGA,Ginadoll,Wonderful U,spotify:track:2eSNpIOFoi1Q8wxw6CycXJ,0.557,0.436,6,-8.569,1,0.0676,0.809,0,0.151,0.246,179.997,248551,5823087
Riot Ten,Rail Breaker (feat. Rico Act),Rail Breaker (feat. Rico Act),spotify:track:3qhW0ioG27ZRFbZn1diK2m,0.661,0.808,0,-5.067,1,0.062,0.00591,6.01E-05,0.112,0.0784,145.128,225116,1540277
gb,LEAN ON ME,LEAN ON ME,spotify:track:22zOx4XhL3jkTkHrhu12db,0.79,0.394,4,-8.475,1,0.0838,0.581,2.07E-06,0.0798,0.438,129.966,151317,448803
B.A.P,Coffee Shop,Coffee Shop,spotify:track:1UcGcju27zWI4JeGsFPvoO,0.527,0.825,4,-6.556,1,0.182,0.565,0.00211,0.119,0.565,170.119,219507,219506
heyden,If you,If you,spotify:track:2i2uQ0bjyO6i8kklXHfkMI,0.652,0.407,10,-8.812,1,0.0597,0.841,9.08E-05,0.253,0.304,87.901,169387,4939000
F.I.R.,讓我們一起微笑吧 !,向日葵盛開的夏天,spotify:track:4oywWk94mQoPNOCk3pXjbj,0.516,0.272,9,-10.373,0,0.0274,0.829,0,0.0954,0.167,76.985,270133,285340
Lil Chawley,Loser (feat. Splash Daddy),Loser (feat. Splash Daddy),spotify:track:1rj4gE9sg9ZHqjwqVJhG3B,0.791,0.649,8,-6.392,1,0.369,0.703,0,0.117,0.51,141.952,135208,0
PATEKO,Rainy day,"Rainy day (Feat. ASH ISLAND, Skinny Brown)",spotify:track:4LxFRsy3TZjqAtAgIsjkez,0.621,0.783,2,-4.78,1,0.162,0.55,0,0.109,0.49,160.161,218250,11274347
W&W,Thunder,Thunder,spotify:track:56xFEo61VO28nrT1MVPHoB,0.629,0.886,7,-3.661,0,0.0589,0.00484,0.814,0.1,0.18,128.002,170625,1668391
Bazzi,Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),spotify:track:4VUwkH455At9kENOfzTqmF,0.638,0.717,2,-4.722,1,0.0337,0.346,0,0.105,0.249,100.027,180000,365409
saevom,"Spring Before I Knew It 새봄, 01 소품집 `어느새 봄`",Shade 그늘,spotify:track:6oueD0OL9uG2VGh5BDOqCJ,0.582,0.156,7,-11.545,1,0.0336,0.984,0.0141,0.128,0.342,134.233,267250,2461
Justin Bieber,Justice,Peaches (feat. Daniel Caesar & Giveon),spotify:track:4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,198082,899783
Rangga Jones,Other Half,Other Half,spotify:track:2gCh5vjwMIRldOwvXby3Qy,0.602,0.483,1,-10.294,0,0.209,0.705,2.76E-06,0.0879,0.237,85.117,215647,1449368
J.Sheon,巷子內,看起來不錯其實也還好,spotify:track:3zMmF25anSSUsnJmcYMbmF,0.559,0.566,8,-6.018,1,0.0791,0.204,0,0.102,0.309,141.757,240893,420856
BANG YE DAM,SBS K팝 스타 시즌2 TOP 2 SPECIAL,Officially Missing You,spotify:track:02O1E2M6R89FSgatYYEBuq,0.606,0.586,4,-4.971,0,0.243,0.357,0,0.334,0.586,100.321,158943,11666994
Elva Hsiao,首選蕭亞軒-美麗的插曲,最熟悉的陌生人,spotify:track:4p1t0HAkt4sYo3R1JQ1WrD,0.677,0.609,7,-4.503,1,0.0292,0.143,0,0.132,0.344,119.855,262413,4144197
adi.,Light,Light,spotify:track:6lVrJdrZtv7JCQKC5x5d2F,0.787,0.567,2,-9.065,1,0.0467,0.861,0.00781,0.105,0.265,110.04,177824,6863339
Nicki Minaj,Pink Friday,Super Bass,spotify:track:3hlksXnvbKogFdPbpO9vel,0.723,0.86,11,-4.357,1,0.203,0.271,4.56E-06,0.598,0.667,126.979,200013,2757197
Little Mix,Confetti (feat. Saweetie),Confetti (feat. Saweetie),spotify:track:40JjCZcdzT9ldZk5DhFqdZ,0.733,0.643,9,-6.45,0,0.053,0.178,0,0.0609,0.485,107.088,185375,5827878
房祖名,亂,最好的我,spotify:track:1PpoiIMsCs0c5zaF4nGlrX,0.749,0.653,10,-6.634,1,0.0442,0.151,0,0.34,0.615,135.985,313453,1931208
BOL4,Puberty BookⅠ Bom,Bom,spotify:track:1Vd8qFWC07LB8UvNHyIlzg,0.559,0.649,7,-3.561,1,0.0571,0.407,0,0.0803,0.548,195.94,217045,628776
CHEN,It's alright This is love (Original Television Soundtrack) Vol. 1,Best Luck,spotify:track:0FxShF2ad0XegLlZ4UPImP,0.487,0.718,9,-2.461,1,0.0274,0.314,3.09E-06,0.211,0.272,79.962,225613,552153
SORAN,I Study You 너를 공부해,I Study You 너를 공부해,spotify:track:6mVPTNUcuAay1HvkvEBtaP,0.852,0.44,1,-6.542,1,0.0461,0.685,4.94E-06,0.106,0.77,104.061,217729,792570
Tiga,Mind Dimension,Mind Dimension - Tiësto Remix,spotify:track:7aEivHwZvqNHoqsXoNKcWL,0.844,0.907,6,-5.432,1,0.147,0.0207,0.505,0.0419,0.0743,126.03,220952,8792684
Tamia,More,Officially Missing You,spotify:track:4IFYR5smTnHYCLP82AiDrJ,0.476,0.407,4,-9.239,0,0.0368,0.247,0,0.144,0.226,178.258,242467,11666994
Kanye West,Mercy,Mercy,spotify:track:4qikXelSRKvoCqFcHLB2H2,0.563,0.496,6,-9.381,0,0.406,0.0685,5.80E-05,0.173,0.426,139.993,329320,1612743
宇珩,從這裡到那裡,朋友們都結婚去了,spotify:track:4AOJL09W50ukvGLryhDpBx,0.543,0.347,7,-9.235,1,0.028,0.728,0,0.181,0.359,131.968,295410,426982
Jay Chou,跨時代,超人不會飛,spotify:track:7qfAfl5pbXRFxSfE32e7i4,0.667,0.363,0,-9.431,1,0.0323,0.345,0.000738,0.385,0.366,156.015,299800,1636578
Louie,Please Just Go,Please Just Go (feat.Hwee In of Mamamoo),spotify:track:581uMxQU1XuGBmgQkJOunE,0.704,0.755,10,-4.951,0,0.0661,0.363,0,0.192,0.85,100.977,174927,416913
Pink Sweat$,The Prelude,At My Worst,spotify:track:0ri0Han4IRJhzvERHOZTMr,0.813,0.415,0,-5.926,1,0.0349,0.777,0,0.131,0.667,91.921,170345,3204
Isac Elliot,Waving At Cars,Waving At Cars,spotify:track:1K1j5IkohC4t0S8zjrYbOH,0.775,0.673,5,-7.704,1,0.0423,0.218,0,0.074,0.71,120.056,159245,1887605
keshi,bandaids,right here,spotify:track:2Q3QRjA8MjzqpFaIkFludb,0.597,0.496,5,-9.441,1,0.077,0.0839,0,0.117,0.319,160.05,195093,2073674
TangBadVoice,Jealous King,Jealous King,spotify:track:3uMYfgPMlYinMvU5HBaO3S,0.862,0.432,5,-11.583,1,0.16,0.369,1.79E-05,0.125,0.433,89.997,182667,172481
Stella Jang,"로봇이 아니야, Pt. 2 Original Television Soundtrack",Would You Love Me?,spotify:track:2oR3YkeTtH4lV6nzt7xxrh,0.624,0.582,2,-6.262,1,0.0399,0.573,2.64E-05,0.0951,0.55,77.006,216104,606719
Zedd,Stay,Stay - Jonas Blue Remix,spotify:track:3qwQ3PEudWSXRaWbsJUUx5,0.763,0.846,5,-4.545,0,0.0468,0.0096,0.00803,0.0403,0.564,125.009,266341,5283716
Barrett Marshall,Necklace,Necklace,spotify:track:1O4LPFLicLEj8B4jBFuhl7,0.732,0.51,9,-6.614,0,0.0328,0.645,0,0.158,0.521,96.067,185000,14790850
Breathe Carolina,DEADTHEALBUM,Find It,spotify:track:15rtC6WPgTX4CaxHl8WuoN,0.697,0.795,10,-6.828,0,0.0361,0.178,5.89E-06,0.694,0.502,117.021,145641,3438066
叶恨水,分你一半,分你一半,spotify:track:70MwLRAYlFW3UITQ2xs3mh,0.737,0.376,8,-9.867,1,0.0597,0.436,0,0.26,0.658,80.781,199692,4022465
Gaho,Cyworld BGM 2021,Officially missing you,spotify:track:5wuabxUqEIl9B54JIZUvgz,0.712,0.452,7,-7.54,1,0.035,0.165,0,0.0969,0.403,93.057,192277,11666994
Henry,Don’t Forget (Feat. Rocoberry),Don’t Forget (Feat. Rocoberry),spotify:track:5b5bnWga1RIBPncnjCroVC,0.605,0.429,3,-7.412,1,0.0371,0.816,0,0.229,0.196,129.902,201013,201013
Sonder,One Night Only,One Night Only,spotify:track:74fQgHleHZ4V7Gm1XYcGkj,0.874,0.402,4,-5.786,1,0.0691,0.263,0.00094,0.147,0.764,119.99,195910,475942
Splash Daddy,FISHING ON MY DS,FISHING ON MY DS,spotify:track:4PZHbd2KBfib7RjxexgP2z,0.784,0.273,7,-18.826,1,0.408,0.014,8.21E-05,0.0711,0.346,186.105,104001,26632
Standing Egg,If You Comeback,If You Comeback,spotify:track:6XHoQUjc7XnbVof4e0IoVu,0.425,0.461,0,-6.722,1,0.0338,0.675,0,0.373,0.329,133.486,269573,57479
Wocean Wang,唯一,唯一 - Wocean Remix,spotify:track:16NT5WtCEpLSlnAeXGS85t,0.454,0.317,5,-9.512,1,0.0346,0.614,0,0.0938,0.646,92.908,181895,15225739
Dua Lipa,Levitating (feat. DaBaby),Levitating (feat. DaBaby),spotify:track:463CkQjx2Zk1yXoBuierM9,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,203064,5601463
Jay Chou,十二新作,明明就,spotify:track:04x6DpeFQ72efXsD0DmWPQ,0.543,0.428,9,-8.966,1,0.0262,0.14,0,0.0876,0.173,112.985,260387,9898582
10cm,5.1,Winter Breath,spotify:track:52MhiDWZlaHOVc29nbZBFC,0.689,0.387,3,-5.726,1,0.0928,0.202,0,0.0845,0.627,167.871,232893,1459609
队长,予你,予你,spotify:track:5ii92YUmZpeEjRKygY8t9v,0.527,0.507,4,-7.855,1,0.0357,0.616,0,0.136,0.17,131.896,231387,6768762
Rihanna,Rated R,Rude Boy,spotify:track:60jzFy6Nn4M0iD1d94oteF,0.563,0.75,11,-4.496,1,0.127,0.113,0,0.0788,0.812,173.906,222920,3304570
Kura,Beast Mode,Beast Mode,spotify:track:4KxqlCJNjBNwsmgzLFy3Is,0.602,0.971,0,-6.065,1,0.0688,0.00409,0.525,0.101,0.0681,149.964,161600,18283859
KeyKey,当想你成为习惯,当想你成为习惯,spotify:track:0PtmLgKpYpqXsdag60pNmO,0.679,0.398,3,-12.373,1,0.0774,0.891,0,0.118,0.499,77.953,214528,4683077
tonun,青い春に,青い春に,spotify:track:16J1tdCiWpbQUvoDWxHteB,0.853,0.4,7,-8.195,1,0.0552,0.439,0.000474,0.271,0.422,128.032,235469,0
Shawn Mendes,Monster,Monster (Shawn Mendes & Justin Bieber),spotify:track:2Z8yfpFX0ZMavHkcIeHiO1,0.652,0.383,2,-7.076,0,0.0516,0.0676,0,0.0828,0.549,145.765,178994,866316
Colde,I'm In Love,I'm In Love,spotify:track:5xv9DhjYckZoZwXifGrkQw,0.614,0.333,10,-8.883,1,0.0325,0.645,0,0.0819,0.661,140.059,197000,395368
Woody,Nothing's gonna be changed,Nothing's gonna be changed,spotify:track:17csHY9O2lt4H5Kp6NZZWT,0.388,0.524,10,-6.031,1,0.146,0.545,0,0.214,0.615,78.762,204613,2270032
Mac Ayres,Drive Slow,Calvin's Joint,spotify:track:33VQJLL7QWS0LUuF7r39Rq,0.676,0.656,8,-7.653,1,0.211,0.825,0.0119,0.118,0.283,94.383,226299,102956
Justin Bieber,Lonely (with benny blanco),Lonely (with benny blanco),spotify:track:4y4spB9m0Q6026KfkAvy9Q,0.631,0.239,11,-7.071,0,0.0398,0.864,0,0.116,0.0927,79.859,149297,240115
BIGBANG,MADE,IF YOU,spotify:track:4kaY4LbdbomICC25gYGGtn,0.672,0.46,1,-6.213,1,0.0292,0.521,0,0.144,0.204,141.822,264216,4939000
Tiësto,BOOM,BOOM,spotify:track:6iC7vapdKp0XlKhxOkp8QJ,0.886,0.84,2,-3.386,1,0.0502,0.0164,0.00622,0.329,0.203,123.035,179512,7293397
Billie Eilish,bad guy (with Justin Bieber),bad guy (with Justin Bieber),spotify:track:3yNZ5r3LKfdmjoS3gkhUCT,0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,194840,3302441
Lil Tjay,True 2 Myself,Sex Sounds,spotify:track:5JtvedSVWW9McnoEAPJwQm,0.857,0.427,8,-8.638,1,0.112,0.281,0,0.108,0.366,130.033,162453,12569682
NICKTHEREAL,GET REAL,GET REAL,spotify:track:0D20LUWqajuqi4Oh9lx4kL,0.801,0.675,7,-5.48,1,0.0497,0.00122,6.82E-06,0.4,0.212,102.029,235383,7271960
J_ust,Thoughts of My Mother,Soothe (feat. Junmo),spotify:track:3LVvBMCKu30y6oXBRV3LNx,0.694,0.564,11,-5.478,0,0.032,0.623,0,0.126,0.62,82.994,227264,14050432
Skrillex,Excision 2015 Mix Compilation,Dirty Vibe - DJ Snake & Aazar Remix,spotify:track:4AVjGk1r3TBstD7lcxh39E,0.699,0.964,9,-3.724,1,0.183,0.000388,0.00125,0.13,0.118,151.999,216316,5878270
Nicky Lee,好玖,夏天,spotify:track:3PNl0rcFCajUKXaeZ9d81j,0.564,0.713,8,-6.696,1,0.0311,0.596,2.40E-06,0.0668,0.577,94.015,226240,1944531
White Cherry,Melancholy,Melancholy,spotify:track:1Lfh02gAbYvlP4SaBNNxiY,0.895,0.031,1,-25.355,1,0.0439,0.839,0.899,0.124,0.448,119.981,128287,15208
mei quinn,say goodbye,say goodbye,spotify:track:4AHbSBLlUZ0TJLGxvLc9i9,0.648,0.45,11,-8.144,0,0.0323,0.385,0,0.106,0.629,94.025,185106,1299297
WONHO,Facade,Close,spotify:track:130gWysHcibpSG3BUqYXUs,0.584,0.779,7,-3.169,0,0.0436,0.0173,0,0.124,0.503,158.076,154720,2388466
ACOURVE,Drunk in Love,Drunk in Love,spotify:track:6AcDh0mIO3Bee90882f7jC,0.602,0.401,9,-6.44,1,0.0308,0.788,0,0.207,0.446,86.93,214082,286072
Charlie Puth,Voicenotes,Attention,spotify:track:5cF0dROlMOK5uNZtivgu50,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33E-05,0.134,0.797,100.066,208787,901169
Hello Ga-Young,네가 좋아,네가 좋아 (feat. 박원),spotify:track:3uMw3suPr1LEFWFxBRtYV7,0.75,0.337,11,-8.034,1,0.0314,0.863,2.81E-06,0.115,0.428,95.959,191544,1718453
Lollipop F,黑糖瑪奇朵 偶像劇原聲帶,苦茶 (feat. 黑澀會美眉),spotify:track:7uEZpaXWFIArc7rreOj3J5,0.58,0.614,1,-7.15,1,0.0337,0.124,0,0.0468,0.305,120.081,280529,11611353
Binaural Beats Sleep,"Sleeping Music: Soothing Binaural Beats and Dream Sleep Sounds for Deep Sleep, Relaxing Sleep Aid, Asmr and Sleep Music",Binaural Beats (Restful Sleep),spotify:track:63SvuIM9L3ONAcYS2ODUoN,0.393,0.00105,4,-43.013,1,0.112,0.995,0.939,0.107,0.0392,72.028,122723,41930
CAMO,Wifey,Wifey,spotify:track:0dXGAtiyMmunKB69wpxJdq,0.431,0.606,0,-7.321,0,0.115,0.179,2.88E-06,0.215,0.397,101.022,124615,3991928
Dre'es,Warm (feat. Mia),Warm (feat. Mia),spotify:track:3kBofOTKMUZ62a311eUwvx,0.662,0.297,8,-14.525,1,0.0301,0.888,0.108,0.119,0.434,94.023,255466,2620917
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",8,spotify:track:6X29iaaazwho3ab7GNue5r,0.735,0.235,3,-13.239,1,0.315,0.698,0.00604,0.107,0.462,62.446,173202,31228
Henry,JOURNEY,RADIO,spotify:track:1ZmAcES012Hgjv6cMVxXrI,0.763,0.764,0,-5.414,1,0.144,0.123,0,0.111,0.262,146.863,191985,4230579
Cheer Chen,華麗的冒險,旅行的意義,spotify:track:0kcYzEvagMWsp9wL6RxW90,0.525,0.516,2,-7.931,1,0.0299,0.38,0,0.365,0.25,137.972,256707,1851854
Billie Eilish,Therefore I Am,Therefore I Am,spotify:track:54bFM56PmE4YLRnqpW6Tha,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,174321,3318269
ATEEZ,ZERO : FEVER Part.3,Deja Vu,spotify:track:3zmrdOtnOogqLllz26WLZ3,0.692,0.835,6,-4.978,0,0.0628,0.0517,0,0.134,0.566,80.017,196670,1223362
Jonan,Sorry,Sorry,spotify:track:4uMJ7fKMAetlX8GUfwFiHL,0.658,0.282,2,-13.393,1,0.124,0.618,0,0.366,0.351,69.956,281143,669533
saevom,Mistiness Of You 너로 짙은 밤,Mistiness Of You 너로 짙은 밤,spotify:track:7fN5jx6R16IHOPQPki0xvr,0.556,0.392,2,-8.725,1,0.0437,0.558,0,0.24,0.558,150.13,230873,397195
Cheer Chen,喜歡你 電影原聲帶,我喜歡上你時的内心活動,spotify:track:3Sk5vML32xkCFsysfuvNYl,0.347,0.333,0,-10.876,1,0.0359,0.765,0.000114,0.0947,0.297,145.245,205973,1911905
Gr33nart Beats,靠近我(Pop/R&B Melodic Trap Type Beat),靠近我(Pop/R&B Melodic Trap Type Beat),spotify:track:1G9Qdnbq1XuMe171T3i0UD,0.902,0.307,9,-11.229,1,0.0494,0.0454,0.874,0.198,0.0596,102.007,190999,4064306
Macklemore & Ryan Lewis,The Heist (Deluxe Edition),Thrift Shop (feat. Wanz),spotify:track:7bYZBVrnRfqeaPbhRyEvK3,0.781,0.526,6,-6.986,0,0.293,0.0633,0,0.0457,0.665,94.993,235613,6423827
JJ Lin,JJ陸,Always Online,spotify:track:7onu9q98XjqZi8egiI1uDf,0.798,0.55,0,-6.137,1,0.0453,0.443,0,0.171,0.695,119.998,225013,6045768
BUZZ,Memorize,Tree,spotify:track:1iLyYwxJzMoDVruT3DnhR6,0.459,0.501,4,-6.267,1,0.0317,0.464,1.05E-05,0.299,0.172,75.986,218686,8799
P-Lo,SHINE,Luh U,spotify:track:4eDRjjFdu1g6Q4Z4i9Dvjm,0.684,0.465,7,-6.371,1,0.0922,0.169,0,0.239,0.685,187.983,182927,3018
Kieron Lee,Raincoat (feat. Chloe Ho),Raincoat (feat. Chloe Ho),spotify:track:7b4ajXYisnMOOnl5J8U2lo,0.752,0.602,0,-8.268,1,0.0315,0.298,0.000581,0.0851,0.399,144.967,177517,395719
BEN,Healer,You,spotify:track:3lO5ShDSFaisIh5Xst8na0,0.506,0.537,5,-5.736,1,0.0394,0.678,0,0.161,0.177,139.603,226739,2529351
Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,telepatía,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,160191,0
slchld,troubles,instant,spotify:track:2m0p64UXPax0A1G7uxPy6K,0.534,0.395,6,-7.029,1,0.0444,0.198,0,0.0861,0.396,125.321,256882,88106
Kauai45,Yesterday,Yesterday,spotify:track:04RoO4qhxaUdXvZQYekIrS,0.702,0.305,11,-16.599,1,0.0967,0.852,0.00358,0.128,0.41,100.926,118824,187161
lullaboy,chapters of you,someone like u,spotify:track:6VMuD05WDxorQZJr5e9sDI,0.588,0.178,8,-17.502,1,0.0489,0.877,0,0.107,0.358,129.763,232000,2206495
BIGBANG,ALIVE,Fantastic Baby,spotify:track:26eV0R7nbqtlzh316ncU99,0.725,0.841,2,-3.924,1,0.0545,0.002,0,0.0652,0.582,130.013,230573,1281457
Wiz Khalifa,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),spotify:track:2JzZzZUQj3Qff7wapcbKjc,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03E-06,0.0649,0.283,80.025,229526,2507
MAX,IT'S YOU (feat. keshi),IT'S YOU (feat. keshi),spotify:track:5SMCxRA6hB2jEhroaYfw6N,0.697,0.368,2,-9.708,1,0.056,0.835,0.00016,0.135,0.451,90.011,173428,3169778
队长,NUNA,NUNA - 和声伴奏,spotify:track:3DqmSDjkzf6kr3H9FnXwsh,0.483,0.645,6,-6.475,1,0.0329,0.00294,0.418,0.105,0.305,138.162,222613,18900809
Chancellor,Angel,Angel,spotify:track:6O5mgpq2xv3ZQGXnL3TNVW,0.622,0.314,8,-8.187,0,0.037,0.817,0,0.136,0.522,89.961,264052,2515601
Wildberry,Polaroid,Polaroid,spotify:track:7j2mYZre0sXqbd4QR8J0gn,0.667,0.431,7,-8.065,1,0.0458,0.215,2.94E-05,0.24,0.244,123.044,271220,10274757
